Table x: Household size by ethnic and IMD
	Total		White Q1		White Q2		White Q3		White Q4		SA Q5										
hhRiskCat in three categories (for descriptive work)
 1 gen	  7362309	40.1	  1119697	42.5	  1146772	44.7	  1132062	44.9	  1002368	43.4	   770629	40.9	    24411	24.2	    34316	26.0	    52044	23.8	    67017	20.8	    56365	17.6	
 2 gens	  6594267	35.9	   961797	36.5	   903919	35.2	   869639	34.5	   798141	34.6	   665068	35.3	    46925	46.4	    57954	43.9	    90309	41.2	   129016	40.1	   124095	38.8	
 3+ gens	  4422502	24.1	   551212	20.9	   513825	20.0	   518842	20.6	   506637	22.0	   447492	23.8	    29697	29.4	    39847	30.2	    76684	35.0	   125476	39.0	   139334	43.6	


 2-3	  7795352	42.4	  1262121	47.9	  1216180	47.4	  1152535	45.7	   995366	43.1	   763219	40.5	    33595	33.3	    40962	31.0	    58246	26.6	    75385	23.4	    68891	21.5	
 4-5	  3609374	19.6	   505475	19.2	   457695	17.8	   438526	17.4	   412443	17.9	   358079	19.0	    32586	32.3	    40026	30.3	    63468	29.0	    92355	28.7	    91556	28.6	
 6-7	   798664	4.3	    54878	2.1	    64918	2.5	    78094	3.1	    89407	3.9	    94942	5.0	     9045	9.0	    14310	10.8	    30022	13.7	    50852	15.8	    55908	17.5	
 8-10	   289685	1.6	    12499	0.5	    17374	0.7	    24124	1.0	    29656	1.3	    33388	1.8	     3359	3.3	     6255	4.7	    15678	7.2	    28790	9.0	    27695	8.7	

Age group(s) of hh occupants
 Only 18-29	   814995	4.4	    82709	3.1	    97821	3.8	   118293	4.7	   117107	5.1	    82690	4.4	     4650	4.6	     6569	5.0	    10651	4.9	    12718	4.0	     9112	2.8	
 Only 30-66	  4012840	21.8	   548798	20.8	   599742	23.4	   607342	24.1	   570456	24.7	   471099	25.0	    16054	15.9	    23252	17.6	    34972	16.0	    45998	14.3	    40707	12.7	
 Only 67+	  2534474	13.8	   488190	18.5	   449209	17.5	   406427	16.1	   314805	13.6	   216840	11.5	     3707	3.7	     4495	3.4	     6421	2.9	     8301	2.6	     6546	2.0	
 0-17 & 18-29	   244491	1.3	    17326	0.7	    22693	0.9	    30033	1.2	    39762	1.7	    51644	2.7	      380	0.4	      617	0.5	     1147	0.5	     2286	0.7	     3725	1.2	
 0-17 & 30-66	  2597240	14.1	   438726	16.7	   381001	14.9	   346265	13.7	   304685	13.2	   245072	13.0	    27672	27.4	    31290	23.7	    44969	20.5	    63425	19.7	    64961	20.3	
 0-17 & 67+	     7667	0.0	     1056	0.0	     1160	0.0	     1083	0.0	      918	0.0	      860	0.0	       67	0.1	       70	0.1	      121	0.1	      143	0.0	      206	0.1	
 18-29 & 30-66	  2442599	13.3	   302260	11.5	   299556	11.7	   300321	11.9	   292881	12.7	   246387	13.1	    12837	12.7	    17916	13.6	    31163	14.2	    46208	14.4	    42267	13.2	
 18-29 & 67+	    62405	0.3	     8045	0.3	     8688	0.3	     8530	0.3	     7973	0.3	     6992	0.4	      260	0.3	      295	0.2	      540	0.2	      791	0.2	      763	0.2	
 30-66 & 67+	  1239865	6.7	   194384	7.4	   190821	7.4	   183407	7.3	   151922	6.6	   114113	6.1	     5709	5.7	     7766	5.9	    12369	5.6	    16163	5.0	    12173	3.8	
 0-17, 18-29 & 30-66	  1521732	8.3	   134513	5.1	   141084	5.5	   158759	6.3	   183534	8.0	   203151	10.8	     9610	9.5	    15344	11.6	    33331	15.2	    59699	18.6	    68079	21.3	
 0-17, 18-29 & 67+	     7044	0.0	      556	0.0	      646	0.0	      756	0.0	      941	0.0	     1144	0.1	       35	0.0	       51	0.0	      123	0.1	      161	0.1	      380	0.1	
 0-17, 30-66 & 67+	   171565	0.9	    19789	0.8	    19487	0.8	    19256	0.8	    15900	0.7	    11433	0.6	     4188	4.1	     4668	3.5	     8527	3.9	    11388	3.5	    10319	3.2	
 18-29, 30-66 & 67+	   240448	1.3	    27549	1.0	    28973	1.1	    28023	1.1	    24246	1.1	    18742	1.0	     2675	2.6	     3874	2.9	     6702	3.1	    10072	3.1	     8022	2.5	
 0-17, 18-29, 30-66 & 67+	  2481713	13.5	   368805	14.0	   323635	12.6	   312048	12.4	   282016	12.2	   213022	11.3	    13189	13.1	    15910	12.0	    28001	12.8	    44156	13.7	    52534	16.4	



