Table x: Household size by ethnic group
	Total		1		2		3		4		5	
hhRiskCat in three categories (for descriptive work)
 1 gen	  7362309	40.1	  5231776	43.5	   238026	21.5	   122484	32.2	    66672	34.4	   144365	39.6	
 2 gens	  6594267	35.9	  4247078	35.3	   453569	41.1	   152693	40.1	    77223	39.8	   134445	36.8	
 3+ gens	  4422502	24.1	  2555315	21.2	   413034	37.4	   105521	27.7	    49921	25.8	    86191	23.6	


 2-3	  7795352	42.4	  5450994	45.3	   281550	25.5	   118751	31.2	    69109	35.7	   116532	31.9	
 4-5	  3609374	19.6	  2194059	18.2	   323042	29.2	    95970	25.2	    46739	24.1	    82319	22.6	
 6-7	   798664	4.3	   384109	3.2	   160671	14.5	    39326	10.3	    14702	7.6	    30847	8.5	
 8-10	   289685	1.6	   117302	1.0	    81942	7.4	    17351	4.6	     6007	3.1	    15248	4.2	

Age group(s) of hh occupants
 Only 18-29	   814995	4.4	   515464	4.3	    44902	4.1	    23689	6.2	    18920	9.8	    54729	15.0	
 Only 30-66	  4012840	21.8	  2829874	23.5	   163512	14.8	    85511	22.5	    42665	22.0	    79188	21.7	
 Only 67+	  2534474	13.8	  1886438	15.7	    29612	2.7	    13284	3.5	     5087	2.6	    10448	2.9	
 0-17 & 18-29	   244491	1.3	   167154	1.4	     8339	0.8	     4753	1.2	     3949	2.0	     3755	1.0	
 0-17 & 30-66	  2597240	14.1	  1744589	14.5	   236153	21.4	    78936	20.7	    35722	18.4	    66733	18.3	
 0-17 & 67+	     7667	0.0	     5107	0.0	      607	0.1	      181	0.0	       56	0.0	      129	0.0	
 18-29 & 30-66	  2442599	13.3	  1451594	12.1	   151455	13.7	    52566	13.8	    29605	15.3	    49378	13.5	
 18-29 & 67+	    62405	0.3	    40355	0.3	     2655	0.2	      968	0.3	      712	0.4	      968	0.3	
 30-66 & 67+	  1239865	6.7	   838279	7.0	    54360	4.9	    15289	4.0	     7179	3.7	    13482	3.7	
 0-17, 18-29 & 30-66	  1521732	8.3	   828634	6.9	   187170	16.9	    57960	15.2	    25084	12.9	    39702	10.9	
 0-17, 18-29 & 67+	     7044	0.0	     4059	0.0	      750	0.1	      215	0.1	      117	0.1	      136	0.0	
 0-17, 30-66 & 67+	   171565	0.9	    86317	0.7	    39310	3.6	     6154	1.6	     2398	1.2	     5796	1.6	
 18-29, 30-66 & 67+	   240448	1.3	   127952	1.1	    31467	2.8	     5807	1.5	     3065	1.6	     5348	1.5	
 0-17, 18-29, 30-66 & 67+	  2481713	13.5	  1508353	12.5	   154337	14.0	    35385	9.3	    19257	9.9	    35209	9.6	



